Year,Property_Value,Home_Equity,Rental_Wealth
1,500000.0,104470.90187584009,107000.0
2,515000.0,124241.22833042673,114490.0
3,530450.0,144781.03238233383,122504.3
4,546363.5,166125.21003792709,131079.60100000002
5,562754.405,188310.49523374438,140255.17307000005
6,579637.03715,211375.56795248232,150073.03518490007
7,597026.1482645001,235361.16913050442,160578.14764784308
8,614936.9327124351,260310.22279823205,171818.61798319212
9,633385.0406938082,286267.96592393966,183845.92124201558
10,652386.5919146225,313282.0864625679,196715.1357289567
11,671958.1896720611,341402.87014433334,210485.19522998368
12,692116.935362223,370683.3565732881,225219.15889608255
13,712880.4434230897,401179.50524371193,240984.50001880835
14,734266.8567257824,432950.3721224589,257853.41502012496
15,756294.862427556,466058.29748830944,275903.1540715337
16,778983.7083003826,500569.1057651557,295216.3748565411
17,802353.2195493941,536552.3181346885,315881.521096499
18,826423.8161358759,574081.3787663395,337993.227573254
19,851216.5306199522,613233.8955577996,361652.7535033818
20,876753.0265385509,654091.8963386979,386968.44624861854
21,903055.6173347074,696742.1015532482,414056.2374860219
22,930147.2858547486,741276.2145051066,443040.17411004344
23,958051.7044303911,787791.2303196165,474052.98629774654
24,986793.2555633029,836389.7648553562,507236.69533858885
25,1016397.0532302021,887180.4048787544,542743.26401229
26,1046888.9648271081,940278.08090286,580735.2924931503
27,1078295.6337719213,995804.4641844956,621386.7629676709
28,1110644.5027850792,1053888.3894733852,664883.8363754079
29,1143963.8378686314,1114666.3052128446,711425.7049216864
30,1178282.7530046904,1178282.7530046904,761225.5042662045
